candidate_id,resolved_openml_id,source_pools,source_dataset_ids,dataset_name,retrieval_timestamp_utc,objective_eligible,semantic_eligible,duplicate_status,first_exclusion_reason,final_decision,openml_version,target_name,description_excerpt,class_labels,minority_label,majority_label,n_rows,n_source_features,n_numeric,n_categorical,n_continuous,n_encoded_features,missing_indicator_count,n_minority,n_majority,minority_prevalence,treatment_intensity_r,missing_fraction,max_balanced_train_size,raw_checksum,objective_checks_json,dtype_disagreement,check_binary,check_rows_in_range,check_has_continuous,check_prevalence_ge_0_02,check_prevalence_le_upper,check_minority_count_ge_250,check_missing_lt_10pct,check_encoded_features_le_100,check_tabpfn_envelope_balanced_train_le_10000,check_treatment_intensity_r_ge_0_5,review_status,semantic_decision,semantic_decision_reason,pipeline_determinism_candidate,suspected_issue
openml:3,3,openml_cc18,openml_cc18:3,kr-vs-kp,2026-08-31T21:40:34.910908+00:00,False,False,none,"objective_fail:has_continuous,prevalence_le_upper,treatment_intensity_r_ge_0_5",EXCLUDE,1,class,"Author: Alen Shapiro
Source: [UCI](https://archive.ics.uci.edu/ml/datasets/Chess+(King-Rook+vs.+King-Pawn))
Please cite: [UCI citation policy](https://archive.ics.uci.edu/ml/citation_policy.html)

1. Title: Chess End-Game -- King+Rook versus King+Pawn on a7
(usually abbreviated KRKPA7). The pawn on a7 means it is one square
away from queening. It is the King+Rook's side (white) to move.

2. Sources:
(a) Database originally generated and described by Alen Shapiro.
(b) Donor/Coder: Rob Holte (holte@uottawa.bitnet). The database
was supplied to Holte by Peter Clark of the Turing Institute
in Glasgow (pete@turing.ac.uk).
(c) Date: 1 August 1989

3. Past Usage:
- Alen D. Shapiro (1983,1987), ""Structured Induction in Expert Systems"",
Addison-Wesley. This book is based on Shapiro's Ph.D. thesis (",won|nowin,nowin,won,3196.0,36.0,0.0,36.0,0.0,36.0,0.0,1527.0,1669.0,0.477784730913642,0.0929927963326785,0.0,1670.0,195d8b053d6c3cc62ecdc1a8b120e2819c941dea91f3a5840176a4381aca87e8,"{""binary"": true, ""rows_in_range"": true, ""has_continuous"": false, ""prevalence_ge_0_02"": true, ""prevalence_le_upper"": false, ""minority_count_ge_250"": true, ""missing_lt_10pct"": true, ""encoded_features_le_100"": true, ""tabpfn_envelope_balanced_train_le_10000"": true, ""treatment_intensity_r_ge_0_5"": false}",False,True,True,False,True,False,True,True,True,True,False,,,,,
openml:6,6,openml_cc18,openml_cc18:6,letter,2026-08-31T21:40:36.227337+00:00,False,False,none,prefilter_rows_out_of_range:20000.0,EXCLUDE,1,class,"**Author**: David J. Slate  
**Source**: [UCI](https://archive.ics.uci.edu/ml/datasets/Letter+Recognition) - 01-01-1991  
**Please cite**: P. W. Frey and D. J. Slate. ""Letter Recognition Using Holland-style Adaptive Classifiers"". Machine Learning 6(2), 1991  

1. TITLE: 
  Letter Image Recognition Data 
 
    The objective is to identify each of a large number of black-and-white
    rectangular pixel displays as one of the 26 capital letters in the English
    alphabet.  The character images were based on 20 different fonts and each
    letter within these 20 fonts was randomly distorted to produce a file of
    20,000 unique stimuli.  Each stimulus was converted into 16 primitive
    numerical attributes (statistical moments and edge counts) which were then
    scaled to fit into a range ",,,,20000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openml:11,11,openml_cc18,openml_cc18:11,balance-scale,2026-08-31T21:40:36.924920+00:00,False,False,none,prefilter_not_binary:3.0,EXCLUDE,1,class,"**Author**: Siegler, R. S. (donated by Tim Hume)  
**Source**: [UCI](http://archive.ics.uci.edu/ml/datasets/balance+scale) - 1994  
**Please cite**: [UCI](https://archive.ics.uci.edu/ml/citation_policy.html)   

**Balance Scale Weight & Distance Database**  
This data set was generated to model psychological experimental results.  Each example is classified as having the balance scale tip to the right, tip to the left, or be balanced. The attributes are the left weight, the left distance, the right weight, and the right distance. The correct way to find the class is the greater of (left-distance * left-weight) and (right-distance * right-weight). If they are equal, it is balanced.

### Attribute description  
The attributes are the left weight, the left distance, the right weight, and the ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openml:12,12,openml_cc18,openml_cc18:12,mfeat-factors,2026-08-31T21:40:37.670373+00:00,False,False,none,prefilter_not_binary:10.0,EXCLUDE,1,class,"**Author**: Robert P.W. Duin, Department of Applied Physics, Delft University of Technology  
**Source**: [UCI](https://archive.ics.uci.edu/ml/datasets/Multiple+Features) - 1998  
**Please cite**: [UCI](https://archive.ics.uci.edu/ml/citation_policy.html)   

**Multiple Features Dataset: Factors**  
One of a set of 6 datasets describing features of handwritten numerals (0 - 9) extracted from a collection of Dutch utility maps. Corresponding patterns in different datasets correspond to the same original character. 200 instances per class (for a total of 2,000 instances) have been digitized in binary images. 

### Attribute Information  
The attributes represent 216 profile correlations. No more information is known.

### Relevant Papers  
A slightly different version of the database is used",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openml:14,14,openml_cc18,openml_cc18:14,mfeat-fourier,2026-08-31T21:40:38.389471+00:00,False,False,none,prefilter_not_binary:10.0,EXCLUDE,1,class,"**Author**: Robert P.W. Duin, Department of Applied Physics, Delft University of Technology  
**Source**: [UCI](https://archive.ics.uci.edu/ml/datasets/Multiple+Features) - 1998  
**Please cite**: [UCI](https://archive.ics.uci.edu/ml/citation_policy.html)   

**Multiple Features Dataset: Fourier**  
One of a set of 6 datasets describing features of handwritten numerals (0 - 9) extracted from a collection of Dutch utility maps. Corresponding patterns in different datasets correspond to the same original character. 200 instances per class (for a total of 2,000 instances) have been digitized in binary images.

### Attribute Information  
The attributes represent 76 Fourier coefficients of the character shapes.

### Relevant Papers  
A slightly different version of the database is used in  
M.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openml:15,15,openml_cc18,openml_cc18:15,breast-w,2026-08-31T21:40:39.067297+00:00,False,False,none,"objective_fail:has_continuous,minority_count_ge_250",EXCLUDE,1,Class,"**Author**: Dr. William H. Wolberg, University of Wisconsin  
**Source**: [UCI](https://archive.ics.uci.edu/ml/datasets/breast+cancer+wisconsin+(original)), [University of Wisconsin](http://pages.cs.wisc.edu/~olvi/uwmp/cancer.html) - 1995  
**Please cite**: See below, plus [UCI](https://archive.ics.uci.edu/ml/citation_policy.html)  

**Breast Cancer Wisconsin (Original) Data Set.** Features are computed from a digitized image of a fine needle aspirate (FNA) of a breast mass. They describe characteristics of the cell nuclei present in the image. The target feature records the prognosis (malignant or benign). [Original data available here](ftp://ftp.cs.wisc.edu/math-prog/cpo-dataset/machine-learn/cancer/)  

Current dataset was adapted to ARFF format from the UCI version. Sample code ID's we",benign|malignant,malignant,benign,699.0,9.0,9.0,0.0,0.0,10.0,1.0,241.0,458.0,0.3447782546494993,0.900414937759336,0.0025433158480368,458.0,aa9ce101382f60a4257d0a54250c3d1626126658256f769bf0cee0d5817d2990,"{""binary"": true, ""rows_in_range"": true, ""has_continuous"": false, ""prevalence_ge_0_02"": true, ""prevalence_le_upper"": true, ""minority_count_ge_250"": false, ""missing_lt_10pct"": true, ""encoded_features_le_100"": true, ""tabpfn_envelope_balanced_train_le_10000"": true, ""treatment_intensity_r_ge_0_5"": true}",False,True,True,False,True,True,False,True,True,True,True,,,,,
openml:16,16,openml_cc18,openml_cc18:16,mfeat-karhunen,2026-08-31T21:40:39.434323+00:00,False,False,none,prefilter_not_binary:10.0,EXCLUDE,1,class,"**Author**: Robert P.W. Duin, Department of Applied Physics, Delft University of Technology  
**Source**: [UCI](https://archive.ics.uci.edu/ml/datasets/Multiple+Features) - 1998  
**Please cite**: [UCI](https://archive.ics.uci.edu/ml/citation_policy.html)   

**Multiple Features Dataset: Karhunen**  
One of a set of 6 datasets describing features of handwritten numerals (0 - 9) extracted from a collection of Dutch utility maps. Corresponding patterns in different datasets correspond to the same original character. 200 instances per class (for a total of 2,000 instances) have been digitized in binary images. 

### Attribute Information  
The attributes represent 64 descriptors from the Karhunen-Loeve Transform, a linear transform that corresponds to the projection of the images on the eigen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openml:18,18,openml_cc18,openml_cc18:18,mfeat-morphological,2026-08-31T21:40:40.156870+00:00,False,False,none,prefilter_not_binary:10.0,EXCLUDE,1,class,"**Author**: Robert P.W. Duin, Department of Applied Physics, Delft University of Technology  
**Source**: [UCI](https://archive.ics.uci.edu/ml/datasets/Multiple+Features) - 1998  
**Please cite**: [UCI](https://archive.ics.uci.edu/ml/citation_policy.html)   

**Multiple Features Dataset: Morphological**  
One of a set of 6 datasets describing features of handwritten numerals (0 - 9) extracted from a collection of Dutch utility maps. Corresponding patterns in different datasets correspond to the same original character. 200 instances per class (for a total of 2,000 instances) have been digitized in binary images. 

In this dataset, these digits are represented in terms of 6 morphological features. 

### Attribute Information  
The meaning of the features is mostly unknown. They are never na",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openml:22,22,openml_cc18,openml_cc18:22,mfeat-zernike,2026-08-31T21:40:40.938410+00:00,False,False,none,prefilter_not_binary:10.0,EXCLUDE,1,class,"**Author**: Robert P.W. Duin, Department of Applied Physics, Delft University of Technology  
**Source**: [UCI](https://archive.ics.uci.edu/ml/datasets/Multiple+Features) - 1998  
**Please cite**: [UCI](https://archive.ics.uci.edu/ml/citation_policy.html)   

**Multiple Features Dataset: Zernike**  
One of a set of 6 datasets describing features of handwritten numerals (0 - 9) extracted from a collection of Dutch utility maps. Corresponding patterns in different datasets correspond to the same original character. 200 instances per class (for a total of 2,000 instances) have been digitized in binary images. 

In this dataset, these digits are represented in terms of 47 Zernike moments. 

### Attribute Information  
The attributes represent 47 rotation invariant Zernike moments. They can't d",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openml:23,23,openml_cc18,openml_cc18:23,cmc,2026-08-31T21:40:41.717911+00:00,False,False,none,prefilter_not_binary:3.0,EXCLUDE,1,Contraceptive_method_used,"**Author**: [Tjen-Sien Lim](limt@stat.wisc.edu) 
**Source**: [As obtained from UCI](https://archive.ics.uci.edu/ml/datasets/Contraceptive+Method+Choice)
**Please cite**: [UCI citation](https://archive.ics.uci.edu/ml/citation_policy.html)

1. Title: Contraceptive Method Choice
 
 2. Sources:
    (a) Origin:  This dataset is a subset of the 1987 National Indonesia
                 Contraceptive Prevalence Survey
    (b) Creator: Tjen-Sien Lim (limt@stat.wisc.edu)
    (c) Donor:   Tjen-Sien Lim (limt@stat.wisc.edu)
    (c) Date:    June 7, 1997
 
 3. Past Usage:
    Lim, T.-S., Loh, W.-Y. & Shih, Y.-S. (1999). A Comparison of
    Prediction Accuracy, Complexity, and Training Time of Thirty-three
    Old and New Classification Algorithms. Machine Learning. Forthcoming.
    (ftp://ftp.stat.wisc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
