source_pool,source_dataset_id,resolved_openml_id,dataset_name,tabarena_problem_type,tabarena_num_instances,tabarena_domain,tabarena_reference,tabarena_data_source,in_openml_suite_457,climb_target_type,climb_IR,climb_n_instances,climb_n_features,candidate_key
tabarena_v0.1,46904,46904,airfoil_self_noise,regression,1503.0,physics & astronomy,brooks1989airfoil,UCI,True,,,,,tabarena_v0.1:46904
tabarena_v0.1,46905,46905,Amazon_employee_access,binary,32769.0,business & marketing,hamner2013amazon,Kaggle,True,,,,,tabarena_v0.1:46905
tabarena_v0.1,46906,46906,anneal,multiclass,898.0,chemistry & material science,uci1990annealing,UCI,True,,,,,tabarena_v0.1:46906
tabarena_v0.1,46907,46907,Another-Dataset-on-used-Fiat-500,regression,1538.0,technology & internet,paolocons2020fiat,Kaggle,True,,,,,tabarena_v0.1:46907
tabarena_v0.1,46908,46908,APSFailure,binary,76000.0,industry & manufacturing,ida2016challenge,UCI,True,,,,,tabarena_v0.1:46908
tabarena_v0.1,46910,46910,bank-marketing,binary,45211.0,finance,"moro2011using,moro2014data",UCI,True,,,,,tabarena_v0.1:46910
tabarena_v0.1,46911,46911,Bank_Customer_Churn,binary,10000.0,finance,topre2022churn,Kaggle,True,,,,,tabarena_v0.1:46911
tabarena_v0.1,46912,46912,Bioresponse,binary,3751.0,biology & life sciences,hamner2012bioresponse,Kaggle,True,,,,,tabarena_v0.1:46912
tabarena_v0.1,46913,46913,blood-transfusion-service-center,binary,748.0,medical & healthcare,yeh2009knowledge,UCI,True,,,,,tabarena_v0.1:46913
tabarena_v0.1,46915,46915,churn,binary,5000.0,business & marketing,marcoulides2005discovering,OpenML,True,,,,,tabarena_v0.1:46915
tabarena_v0.1,46916,46916,coil2000_insurance_policies,binary,9822.0,business & marketing,van2000coil,UCI,True,,,,,tabarena_v0.1:46916
tabarena_v0.1,46917,46917,concrete_compressive_strength,regression,1030.0,chemistry & material science,yeh1998modeling,UCI,True,,,,,tabarena_v0.1:46917
tabarena_v0.1,46918,46918,credit-g,binary,1000.0,finance,hofmann1994statlog,UCI,True,,,,,tabarena_v0.1:46918
tabarena_v0.1,46919,46919,credit_card_clients_default,binary,30000.0,finance,yeh2009comparisons,UCI,True,,,,,tabarena_v0.1:46919
tabarena_v0.1,46920,46920,customer_satisfaction_in_airline,binary,129880.0,business & marketing,yakhyojon2023airline,Kaggle,True,,,,,tabarena_v0.1:46920
tabarena_v0.1,46921,46921,diabetes,binary,768.0,medical & healthcare,smith1988using,OpenML,True,,,,,tabarena_v0.1:46921
tabarena_v0.1,46922,46922,Diabetes130US,binary,71518.0,medical & healthcare,strack2014impact,UCI,True,,,,,tabarena_v0.1:46922
tabarena_v0.1,46923,46923,diamonds,regression,53940.0,business & marketing,wickham2016data,Other,True,,,,,tabarena_v0.1:46923
tabarena_v0.1,46924,46924,E-CommereShippingData,binary,10999.0,business & marketing,gopalani2021ecommerce,Kaggle,True,,,,,tabarena_v0.1:46924
tabarena_v0.1,46927,46927,Fitness_Club,binary,1500.0,business & marketing,ddosad2023fitness,Kaggle,True,,,,,tabarena_v0.1:46927
tabarena_v0.1,46928,46928,Food_Delivery_Time,regression,45451.0,business & marketing,rajatkumar302023food,Kaggle,True,,,,,tabarena_v0.1:46928
tabarena_v0.1,46929,46929,GiveMeSomeCredit,binary,150000.0,finance,cukierski2011givemecredit,Kaggle,True,,,,,tabarena_v0.1:46929
tabarena_v0.1,46930,46930,hazelnut-spread-contaminant-detection,binary,2400.0,biology & life sciences,ricci2021machine,OpenML,True,,,,,tabarena_v0.1:46930
tabarena_v0.1,46931,46931,healthcare_insurance_expenses,regression,1338.0,medical & healthcare,arunjangir2452023insurance,Kaggle,True,,,,,tabarena_v0.1:46931
tabarena_v0.1,46932,46932,heloc,binary,10459.0,finance,averkiyoliabev2021heloc,Kaggle,True,,,,,tabarena_v0.1:46932
tabarena_v0.1,46933,46933,hiva_agnostic,multiclass,3845.0,chemistry & material science,guyon2007agnostic,Other,True,,,,,tabarena_v0.1:46933
tabarena_v0.1,46934,46934,houses,regression,20640.0,business & marketing,pace1997sparse,Other,True,,,,,tabarena_v0.1:46934
tabarena_v0.1,46935,46935,HR_Analytics_Job_Change_of_Data_Scientists,binary,19158.0,business & marketing,arashnic2021hr,Kaggle,True,,,,,tabarena_v0.1:46935
tabarena_v0.1,46937,46937,in_vehicle_coupon_recommendation,binary,12684.0,business & marketing,wang2017bayesian,UCI,True,,,,,tabarena_v0.1:46937
tabarena_v0.1,46938,46938,Is-this-a-good-customer,binary,1723.0,business & marketing,podsyp2020customer,Kaggle,True,,,,,tabarena_v0.1:46938
