source_pool,source_dataset_id,resolved_openml_id,dataset_name,in_openml_suite_457,candidate_key,openml_version
tabarena_v0.1,46904,46904,airfoil_self_noise,True,tabarena_v0.1:46904,9
tabarena_v0.1,46905,46905,Amazon_employee_access,True,tabarena_v0.1:46905,3
tabarena_v0.1,46906,46906,anneal,True,tabarena_v0.1:46906,18
tabarena_v0.1,46907,46907,Another-Dataset-on-used-Fiat-500,True,tabarena_v0.1:46907,1
tabarena_v0.1,46908,46908,APSFailure,True,tabarena_v0.1:46908,2
tabarena_v0.1,46910,46910,bank-marketing,True,tabarena_v0.1:46910,10
tabarena_v0.1,46911,46911,Bank_Customer_Churn,True,tabarena_v0.1:46911,1
tabarena_v0.1,46912,46912,Bioresponse,True,tabarena_v0.1:46912,4
tabarena_v0.1,46913,46913,blood-transfusion-service-center,True,tabarena_v0.1:46913,2
tabarena_v0.1,46915,46915,churn,True,tabarena_v0.1:46915,4
tabarena_v0.1,46916,46916,coil2000_insurance_policies,True,tabarena_v0.1:46916,1
tabarena_v0.1,46917,46917,concrete_compressive_strength,True,tabarena_v0.1:46917,8
tabarena_v0.1,46918,46918,credit-g,True,tabarena_v0.1:46918,5
tabarena_v0.1,46919,46919,credit_card_clients_default,True,tabarena_v0.1:46919,1
tabarena_v0.1,46920,46920,customer_satisfaction_in_airline,True,tabarena_v0.1:46920,1
tabarena_v0.1,46921,46921,diabetes,True,tabarena_v0.1:46921,7
tabarena_v0.1,46922,46922,Diabetes130US,True,tabarena_v0.1:46922,4
tabarena_v0.1,46923,46923,diamonds,True,tabarena_v0.1:46923,9
tabarena_v0.1,46924,46924,E-CommereShippingData,True,tabarena_v0.1:46924,1
tabarena_v0.1,46927,46927,Fitness_Club,True,tabarena_v0.1:46927,1
tabarena_v0.1,46928,46928,Food_Delivery_Time,True,tabarena_v0.1:46928,1
tabarena_v0.1,46929,46929,GiveMeSomeCredit,True,tabarena_v0.1:46929,1
tabarena_v0.1,46930,46930,hazelnut-spread-contaminant-detection,True,tabarena_v0.1:46930,1
tabarena_v0.1,46931,46931,healthcare_insurance_expenses,True,tabarena_v0.1:46931,1
tabarena_v0.1,46932,46932,heloc,True,tabarena_v0.1:46932,3
