openml_id,name,source_pool,version,checksum,obj_n_rows,obj_n_features_raw,obj_n_features_after_encoding_est,obj_n_continuous,obj_n_minority,obj_minority_prevalence,obj_missing_frac,obj_pass_objective,check_binary,check_rows_in_range,check_features_after_encoding_le_100,check_has_continuous,check_prevalence_in_range,check_minority_count_ge_250,check_missing_lt_10pct,pass_objective,status,error
37,diabetes,curated_smoke_list_not_full_tabarena,1,bdb5a61c1577c6217d67879088e9fcfad1b0af0ff242a6c5859e54c4c1afbb04,768,8,8,8,268,0.3489583333333333,0.0,True,True,True,True,True,True,True,True,True,ok,
31,credit-g,curated_smoke_list_not_full_tabarena,1,04cd78029112cd5e96104cb97dd17fb69e9b1cb2fd21785d07cc08ee368290a5,1000,20,20,6,300,0.3,0.0,True,True,True,True,True,True,True,True,True,ok,
1510,wdbc,curated_smoke_list_not_full_tabarena,1,6b6e9fd388b67365ec559b0fbca03934d0c81e75ed4d38154638afcc6a29254a,569,30,30,30,212,0.37258347978910367,0.0,False,True,True,True,True,True,False,True,False,ok,
1067,kc1,curated_smoke_list_not_full_tabarena,1,3a161f2693581603a969e3a75bc3b0e9a5c5a263f9f70c7d624034811273d911,2109,21,21,21,326,0.15457562825983878,0.0,True,True,True,True,True,True,True,True,True,ok,
1068,pc1,curated_smoke_list_not_full_tabarena,1,86d4f7e248f3e371e13a820c181af94a788dd9a1e312c0247e04063e23472144,1109,21,21,21,77,0.06943192064923355,0.0,False,True,True,True,True,True,False,True,False,ok,
1049,pc4,curated_smoke_list_not_full_tabarena,1,8ffc3cf07f2854ab953aac36eff3bd0f130da0fdd10ee7f142d58770dab4e824,1458,37,37,36,178,0.12208504801097393,0.0,False,True,True,True,True,True,False,True,False,ok,
1050,pc3,curated_smoke_list_not_full_tabarena,1,d4237461c4890d65d0a512812b436dc040f8ebe01884c633d880b5421fd6f676,1563,37,37,37,160,0.10236724248240563,0.0,False,True,True,True,True,True,False,True,False,ok,
1464,blood-transfusion-service-center,curated_smoke_list_not_full_tabarena,1,9d7f980caad26f260d4c433bc8a32c264f276e59c0e4d15691a116b9517749a7,748,4,4,4,178,0.23796791443850268,0.0,False,True,True,True,True,True,False,True,False,ok,
40701,churn,curated_smoke_list_not_full_tabarena,1,c28d2c5831589a42105dd3ad4a15c872d04dce438d8828eed6fd07d8f38a1c89,5000,20,20,16,707,0.1414,0.0,True,True,True,True,True,True,True,True,True,ok,
44,spambase,curated_smoke_list_not_full_tabarena,1,4bd24307f7272de6f74392d5dfad8d253ff7b9abc9f886f8e6124a0eb0f60b97,4601,57,57,57,1813,0.39404477287546186,0.0,True,True,True,True,True,True,True,True,True,ok,
29,credit-approval,curated_smoke_list_not_full_tabarena,1,50de28ee6ae004c9052aca83eb29b70c5dd39060f5bb19b787691544dd0998ff,690,15,22,6,307,0.4449275362318841,0.006473429951690821,False,True,True,True,True,False,True,True,False,ok,
15,breast-w,curated_smoke_list_not_full_tabarena,1,fdb59921a130737eb95f2cd39dbdf27c7a4d8900ab654d094eb2b640e83f1bb3,699,9,10,9,241,0.3447782546494993,0.002543315848036878,False,True,True,True,True,True,False,True,False,ok,
1487,ozone-level-8hr,curated_smoke_list_not_full_tabarena,1,11a2521c4d8c75686255544dedd8f5c2f6ea8f383c7733b416035ce4be5ce691,2534,72,72,72,160,0.06314127861089187,0.0,False,True,True,True,True,True,False,True,False,ok,
