resolved_openml_id,openml_version,dataset_name,target_name,n_rows,n_source_features,class_counts_json,legacy_frozen_parquet_sha256,canonical_content_sha256,feature_name_order_fingerprint,row_order_fingerprint
44,1,spambase,class,4601,57,"{""0"":2788,""1"":1813}",7f499b0ae622eba831ce38e991682802cbc49deffd96ebcf30c1e6e801fb5840,e30b517f022f554f7c8b92cc4218d47e64253d3ca06f4106ca260ff49aa2d559,036beee752af7234f0052e5e97b19c82c9f7b13ebcb1e8743c3dc2cd7d1f31ba,8277bf68266ed164940b81a8e0a807d59abb05b1450084f528bfdfc054d59b67
1067,1,kc1,defects,2109,21,"{""False"":1783,""True"":326}",6fecfff679a8168cdf32dd8a3a01a59ec1e2cbd0d8405141a971599450c5c730,3a3ab7d9a8ce3627e60620f018b06b7955b33cf36fb6e58912116f296c4fbb16,a7e2857711f116ad4841f74413560839370d3e2459d5567fca234bb8006f414b,1a718b2d66e760de9060898bf7df5e2209d3bc253086bc2697a712090342d3f3
1489,1,phoneme,Class,5404,5,"{""1"":3818,""2"":1586}",c6b2d6cce799e15d6629333d542f6ec0a703eade0fa7c0ca22e712520e84fc16,8052d0840ecc0f215f395bfb95ccccae22cebd05a83e9d77519585ca1123e3a0,bd1dac8e8027004d1ef90b8118108ffdc1b622921e61b590ddde3eb5a3cbe03c,5a136d7c0f341985f1150ce16676fe07826f6995eedec46a4f9aefabbdd4f3bb
40983,2,wilt,class,4839,5,"{""1"":4578,""2"":261}",caba7c5bbe82e1f0798798eed469aa5ad2721d036d3b86fd0ed0dda0cdfb960e,ee3e6085970160f4aa5c8d56edecd59a5afd1dde6cb9d7d7a8dd1d88bbfc118c,6eb0de4f0bfcd063a79fc648e25674b7639ea898fdbf84a3eab5fbb16a822a97,d5bea6d159bc908e7ca5991f2ed55803b7ec3b80a29a6b5f8d3dd3d68ec6f94d
42178,1,telco-customer-churn,Churn,7043,19,"{""No"":5174,""Yes"":1869}",86fb1c0919c05313b3d5ebbd0b1e3e84aab599a93f02afe2db07bf670a559b81,51e6b263bd3ca70c6179403001bc5f6ff132d68aa718660237d92ed15794db7d,b5daffca943c1b34477d861ea401952ebd27ca2b36699cca258a65566b2a27a7,f6ccdf193ba8b23322f1006066b0077e963e52ef8cd549087e70a3657146358d
46911,1,Bank_Customer_Churn,churn,10000,10,"{""No"":7963,""Yes"":2037}",85d34457ab9a4dc995e993f4349c502818d23ae27e9d140cea45493b011bc568,62d185c2f91e803c1a3901cf6c23d648884ff1f60b3a40f0cff81cd7a590bcb2,cecc39616027124c19897e29653fad9855efe9fd3ca783a5f52734843c1ff2b9,7bd9e8b0608b13d8caf54a419854344ce925722aa6a598f832dabb2d5429d181
46915,4,churn,CustomerChurned,5000,19,"{""No"":4293,""Yes"":707}",fd16427b2e4f30f71a63e54440d5a8be2bc134e3e607b4f0dc15a77bea7c51a9,e94a4e547bbaf79b14c08dbabf0d21a3f52c55eb7ecec56a4b99f601497b7438,06a168bc790e89245c7f6375ba46a693a3c06106a9c02f24a33e1c4296592f86,60c08ac6e714bee205a1bccf328c0f942c37a9f00c6b7e9dd80daafb4d1950d6
46921,7,diabetes,TestedPositiveForDiabetes,768,8,"{""No"":500,""Yes"":268}",9ccdd95253e038619ce070a0e9ced24e382b413bb139f90e432dff81adc884dd,b9dc067e405dc0a54670fe3aca61f06aa5336eb50f0cd5f818ba0e9c90169866,2daa20d4a9f34afa98b05236323742ae02bf7974d288f626bd69ae5283de30f8,a6715ba2e48fcc98a8aef0f9eaa6a034ba3415218b291a5fd1096e767ece68f0
46927,1,Fitness_Club,attended,1500,6,"{""No"":1046,""Yes"":454}",23d6a9f9a02f0aea50f700b704c2aca324ee96608b2f19dee4decbed28233875,0a231e77dcfeea784f11699c3ec81f6f9a14add62fda4f6505ae29350792571d,278d4015cf951f3bd08836917da5356715d75499ae9f0b4e57bb0ee087baff76,0991692119e64f00f016b80fdc0429c86a4ee3bfe66563b0a663f75ccee9559d
46952,2,qsar-biodeg,Biodegradable,1054,41,"{""No"":699,""Yes"":355}",8788778e74c1ffa3f4b7dc7553e0e55abd964463457187df98aedf2b24fb234f,e63048a3d21ed2d5196d5f7b7de345a9484e4751f092dd709e0ccfb016e7a408,26f4de2c8a0e9f3748762eb09b7d17ba6a375de150889c42f1cad622fdbf3a26,ea7930613a17a79128b02680abc92342bd6571215c7149418a4758a17e920e77
